,SL,Ticket Category,SLA (Weekdays),,SLA (Weekend),
,27,"TT - Name Mismatch Issue (Agreement, Platform, Certificate)",16H,20H,72H,72H
,28,TT - Dashboard Update Issue,16H,20H,72H,72H
,29,TT- Signed Agreement but not getting market data subscription,16H,20H,72H,72H
,30,TT - Account not found in System/Dashboard,12H,20H,72H,72H
,31,TT - Auto Liquidation/Unable to Place Trade After Reset,12H,20H,72H,72H
,32,TT - Double Matrix Issue,12H,20H,72H,72H
,33,TT - Eligible but not getting the Reset option,12H,20H,72H,72H
,34,TT - Profit Withdrawal is Not Showing in The Dashboard.,8H,20H,72H,72H
,35,TT - Dashboard Balance/Trade update issue,12H,20H,72H,72H
,36,TT - Reset with Previous Payment (Futures),12H,20H,72H,72H
,37,TT - Request to Change Email Address,8H,20H,72H,72H
,38,TT - Force Retry button not working,12H,20H,72H,72H
,,,,,,
,,,,,,
CR,1,CR - Account Got Flagged But Email Was Not Sent,3H,17H,54H,54H
,2,CR - Need to Respond to Client’s Email / Client Missed the Interview,3H,17H,54H,54H
,,,,,,
,,,,,,
CPM,1,CPM - Affiliate / Payment Partner,24H,,48H,
,2,CPM - Banned on Discord.,,,,
,3,CPM - Giveaway Account KYC Verification,,,,
,4,CPM - Need To Provide Giveaway Account (Twitter/Discord),,,,
,5,CPM - Proposal From Influencer,,,,
,6,CPM - Unusual Issue,,,,
